"COVID-19-Associated Hospitalization Rates (per 100,000 population) for the COVID-NET Network (downloaded on "May-13-2020)
Centers for Disease Control and Prevention.
CATCHMENT,NETWORK,YEAR,MMWR-YEAR,MMWR-WEEK,AGE CATEGORY,CUMULATIVE RATE,WEEKLY RATE 
Connecticut,EIP,2020,2020,10,0-4 yr,0,0
Connecticut,EIP,2020,2020,11,0-4 yr,0,0
Connecticut,EIP,2020,2020,12,0-4 yr,0,0
Connecticut,EIP,2020,2020,13,0-4 yr,0,0
Connecticut,EIP,2020,2020,14,0-4 yr,2,2
Connecticut,EIP,2020,2020,15,0-4 yr,2,0
Connecticut,EIP,2020,2020,16,0-4 yr,2,0
Connecticut,EIP,2020,2020,17,0-4 yr,2,0
Connecticut,EIP,2020,2020,18,0-4 yr,2,0
Connecticut,EIP,2020,2020,19,0-4 yr,null,null
Connecticut,EIP,2020,2020,20,0-4 yr,null,null
Connecticut,EIP,2020,2020,21,0-4 yr,null,null
Connecticut,EIP,2020,2020,22,0-4 yr,null,null
Connecticut,EIP,2020,2020,23,0-4 yr,null,null
Connecticut,EIP,2020,2020,24,0-4 yr,null,null
Connecticut,EIP,2020,2020,25,0-4 yr,null,null
Connecticut,EIP,2020,2020,26,0-4 yr,null,null
Connecticut,EIP,2020,2020,27,0-4 yr,null,null
Connecticut,EIP,2020,2020,28,0-4 yr,null,null
Connecticut,EIP,2020,2020,29,0-4 yr,null,null
Connecticut,EIP,2020,2020,30,0-4 yr,null,null
Connecticut,EIP,2020,2020,31,0-4 yr,null,null
Connecticut,EIP,2020,2020,32,0-4 yr,null,null
Connecticut,EIP,2020,2020,33,0-4 yr,null,null
Connecticut,EIP,2020,2020,34,0-4 yr,null,null
Connecticut,EIP,2020,2020,35,0-4 yr,null,null
Connecticut,EIP,2020,2020,36,0-4 yr,null,null
Connecticut,EIP,2020,2020,37,0-4 yr,null,null
Connecticut,EIP,2020,2020,38,0-4 yr,null,null
Connecticut,EIP,2020,2020,39,0-4 yr,null,null
Connecticut,EIP,2020,2020,10,5-17 yr,0,0
Connecticut,EIP,2020,2020,11,5-17 yr,0,0
Connecticut,EIP,2020,2020,12,5-17 yr,0.7,0.7
Connecticut,EIP,2020,2020,13,5-17 yr,0.7,0
Connecticut,EIP,2020,2020,14,5-17 yr,1.3,0.7
Connecticut,EIP,2020,2020,15,5-17 yr,2,0.7
Connecticut,EIP,2020,2020,16,5-17 yr,2,0
Connecticut,EIP,2020,2020,17,5-17 yr,4.6,2.7
Connecticut,EIP,2020,2020,18,5-17 yr,6,1.3
Connecticut,EIP,2020,2020,19,5-17 yr,null,null
Connecticut,EIP,2020,2020,20,5-17 yr,null,null
Connecticut,EIP,2020,2020,21,5-17 yr,null,null
Connecticut,EIP,2020,2020,22,5-17 yr,null,null
Connecticut,EIP,2020,2020,23,5-17 yr,null,null
Connecticut,EIP,2020,2020,24,5-17 yr,null,null
Connecticut,EIP,2020,2020,25,5-17 yr,null,null
Connecticut,EIP,2020,2020,26,5-17 yr,null,null
Connecticut,EIP,2020,2020,27,5-17 yr,null,null
Connecticut,EIP,2020,2020,28,5-17 yr,null,null
Connecticut,EIP,2020,2020,29,5-17 yr,null,null
Connecticut,EIP,2020,2020,30,5-17 yr,null,null
Connecticut,EIP,2020,2020,31,5-17 yr,null,null
Connecticut,EIP,2020,2020,32,5-17 yr,null,null
Connecticut,EIP,2020,2020,33,5-17 yr,null,null
Connecticut,EIP,2020,2020,34,5-17 yr,null,null
Connecticut,EIP,2020,2020,35,5-17 yr,null,null
Connecticut,EIP,2020,2020,36,5-17 yr,null,null
Connecticut,EIP,2020,2020,37,5-17 yr,null,null
Connecticut,EIP,2020,2020,38,5-17 yr,null,null
Connecticut,EIP,2020,2020,39,5-17 yr,null,null
Connecticut,EIP,2020,2020,10,18-49 yr,0,0
Connecticut,EIP,2020,2020,11,18-49 yr,0.5,0.5
Connecticut,EIP,2020,2020,12,18-49 yr,2.9,2.4
Connecticut,EIP,2020,2020,13,18-49 yr,13.4,10.5
Connecticut,EIP,2020,2020,14,18-49 yr,30.2,16.8
Connecticut,EIP,2020,2020,15,18-49 yr,41.9,11.7
Connecticut,EIP,2020,2020,16,18-49 yr,55.8,13.9
Connecticut,EIP,2020,2020,17,18-49 yr,66.3,10.5
Connecticut,EIP,2020,2020,18,18-49 yr,73,6.7
Connecticut,EIP,2020,2020,19,18-49 yr,null,null
Connecticut,EIP,2020,2020,20,18-49 yr,null,null
Connecticut,EIP,2020,2020,21,18-49 yr,null,null
